title,content,category
"Trump Can’t Resist Turning Testimony Into Tirade","Trump under questioning drifted into diatribes, disparaging the state’s top prosecutor and the judge hearing his case while accusing them of political harassment.","Politics"
"Trump Testifying Is a Test All Its Own","Beyond having a former president testify under oath, Trump taking the stand in his civil trial creates an unusual situation – one in which his bombastic nature and tendency to misrepresent will be constrained..","Politics"
"House Passes Israel Aid Package","Beyond having a former president testify under oath, Trump taking the stand in his civil trial creates an unusual situation – one in which his bombastic nature and tendency to misrepresent will be constrained.","Politics"
"The High-Stakes Races in Election ‘23","Voters are heading to the polls to decide critical races for governor as well as for state legislatures, judicial positions and ballot measures.","Politics"
"Dems Look to Bypass Military Holds","Attention is turned to a resolution to circumvent Sen. Tommy Tuberville’s objections after his GOP colleagues staged a dramatic confrontation on the Senate floor.","Politics"
"Santos Survives Expulsion Vote","The New York Republican has been embroiled in scandal since he took office and admitted to fabricating elements of his resume.","Politics"
"Schumer’s Far-Right Warning to Johnson","The Senate majority leader warned the new speaker not to ‘follow the hard-right’ as major legislative tests between the chambers get underway.","Politics"
"Who Is Running for President?","Former President Donald Trump is leading the pack on the Republican side while President Joe Biden readies his reelection campaign.","Politics"
"Abortion on the Ballot in Virginia","Control of the legislature in elections next week stands to decide if Virginia will remain the last Southern state where abortion is accessible – and test the political strength of GOP Gov. Glenn Youngkin.","Politics"
"Haley Surges Into Second in Iowa","Still, the Iowa poll reflects a new political reality for the 2024 elections, with the nominations for both major political parties appearing to be sewn up by the front-runners.","Politics"
"Mike Pence Ends White House Bid","The former vice president announced an end to his campaign for the Republican nomination as he struggled to gain traction in the crowded field.","Politics"
"Vulnerable Biden Sees New Challenger","Democratic Rep. Dean Phillips is launching a bid for the White House as the president's approval rating falls to new lows among his party.","Politics"
"Smith Seeks New Gag Order for Trump","The latest request came after Trump took to social media to address reports that his former chief of staff was cooperating with prosecutors and testified against him.","Politics"
"There's Too Much Guesswork in Renting an Airbnb. the Short-Term Rental Giant Is Trying to Fix That","Airbnb says the biggest reason it loses some bookings to hotels is that people never know exactly what their Airbnb rental will look like until they check in","Business"
"Royal Pomp and Ceremony Planned for South Korean President's State Visit to the UK","South Korean President Yoon Suk Yeol will be greeted with royal pomp and ceremony before commemorating the sacrifice of British soldiers during the Korean War when he travels to the U.K. for a state visit later this month","Business"
"To Help 2024 Voters, Meta Says It Will Begin Labeling Political Ads That Use AI-Generated Imagery","The owner of Facebook and Instagram says it'll put labels on political ads created using artificial intelligence","Business"
"General Motors' Autonomous Vehicle Unit Recalls Cars for Software Update After Dragging a Pedestrian","GM's Cruise autonomous vehicle unit is recalling all 950 of its cars to update its software after one dragged a pedestrian to the side of a San Francisco street last month","Business"
"Putin Calls for Closer Russia-China Cooperation on Military Satellites and Prospective Weapons","Russian President Vladimir Putin has told a senior Chinese military official that Moscow and Beijing should expand their cooperation on military satellites and other prospective defense technologies","Business"
"International Monetary Fund Warns Europe Against Prematurely Declaring Victory Over Inflation","The International Monetary Fund says the European Central Bank and other policymakers across Europe need to keep interest rates at current elevated levels until they’re sure inflation is under control despite sluggish growth","Business"
"Stock Market Today: Markets Flat as Extended Rout in Energy Hints at Slowing Global Economy","Global shares are flat in muted trading as an extended rout in energy prices hints at falling demand as the global economy slows","Business"
"Rivian to End Exclusivity With Amazon, Allow Other Companies to Buy Its Electric Vans","Electric vehicle maker Rivian says it will allow other companies to purchase its delivery vans, ending its exclusive agreement with Amazon","Business"
"Biden Will Meet With United Auto Workers President in Illinois on Thursday","President Joe Biden will meet Thursday in Belvidere, Illinois, with the head of the United Auto Workers union","Business"
"BU Finds Ibram X. Kendi's Antiracist Research Center Managed Funds Properly, Despite Turmoil","Boston University said Tuesday that its initial inquiry into the antiracist research center run by best-selling author and academic Ibram X","Business"
"The US Sanctions Mexican Sinaloa Cartel Members and Firms Over Fentanyl Trafficking","The Treasury Department has imposed sanctions on 13 members of Mexico’s powerful Sinaloa cartel and four Mexico-based firms accused of trafficking fentanyl into the United States","Business"
"A Meta Engineer Saw His Own Child Face Harassment on Instagram. Now, He's Testifying Before Congress","On the same day whistleblower Frances Haugen was testifying before Congress about the harms of Facebook and Instagram to children in the fall of 2021, Arturo Béjar, then a contractor at the social media giant, sent an email to Meta CEO Mark Zuckerberg about the same topic","Business"
"Bangladesh Raises Monthly Minimum Wage for Garment Workers to $113 Following Weeks of Protests","Authorities in Bangladesh have announced a new minimum wage for garment factory workers after weeks of violent protests","Business"
"The Air Force Asks Congress to Protect Its Nuclear Launch Sites From Encroaching Wind Turbines","The Air Force is asking Congress to restrict further construction of the towering wind turbines that have edged closer to its nuclear missile sites in Montana, Wyoming, North Dakota, Nebraska and Colorado","Business"
"UBS Reports Pre-Tax Loss in 3Q but Says Benefits of Credit Suisse Merger Gather Steam","UBS has reported a $255 million pre-tax loss, shed some 4,000 jobs globally, cut costs faster than expected, and reaped billions in asset inflows in the third quarter","Business"
